,Zuordnung,Belegnummer,Belegdatum,Betrag in Hauswährung,Hauswährung,Ausgleichsbeleg,group
0,6090466822,1200401780.0,2023-04-30,51671.15,EUR,,"('@5C\\Qoffen@', 'Konto 30036349')"
1,6090466823,1200401781.0,2023-04-30,3919.22,EUR,,"('@5C\\Qoffen@', 'Konto 30036349')"
4,9503325616,1200401193.0,2023-04-25,-115.65,EUR,1600013615.0,"('@5C\\Qoffen@', 'Konto 30039682')"
5,9503328298,1200401306.0,2023-04-26,-216.41,EUR,1600013615.0,"('@5C\\Qoffen@', 'Konto 30039682')"
6,9503328299,1200401307.0,2023-04-26,-710.99,EUR,1600013615.0,"('@5C\\Qoffen@', 'Konto 30039682')"
